AccX,AccY,GyroZ,Class,DiffAccX,DiffAccY
0.0,0.0,0.101938136,NORMAL,0.0,0.0
-1.6248639,-1.0824918,0.13553573,NORMAL,-1.6248639,-1.0824918
-0.5946599,-0.122409865,0.08788824,NORMAL,1.030204,0.9600819349999998
0.7384782,-0.22845554,0.054901514,NORMAL,1.3331381,-0.106045675
0.101741076,0.7775676,0.054901514,NORMAL,-0.6367371239999999,1.00602314
0.15846956,0.34589112,0.014584408,NORMAL,0.05672848400000001,-0.43167648000000003
0.078171015,-0.34917977,0.05062546,NORMAL,-0.08029854500000001,-0.69507089
-0.66274977,-0.46277535,0.046960264,NORMAL,-0.740920785,-0.11359557999999997
0.46731782,-0.23463994,-0.030008756,NORMAL,1.13006759,0.22813540999999998
-0.17189527,-0.40889418,-0.019624045,NORMAL,-0.6392130899999999,-0.17425424
0.8526788,-0.41677797,-0.072158456,NORMAL,1.02457407,-0.007883790000000002
0.30885077,0.23902233,-0.07276932,NORMAL,-0.54382803,0.6558003
-0.40297937,-0.040392295,-0.04589125,NORMAL,-0.71183014,-0.279414625
-0.6046126,0.84023064,-0.07826711,NORMAL,-0.20163322999999994,0.880622935
0.16359544,0.47510707,-0.06116288,NORMAL,0.76820804,-0.36512357
-0.25059032,1.7221956,-0.0055741454,NORMAL,-0.41418575999999996,1.24708853
0.7984953,0.1821081,-0.08559749,NORMAL,1.04908562,-1.5400875
-0.29116774,1.694341,-0.08987355,NORMAL,-1.08966304,1.5122329
1.1801066,1.6199347,-0.013515393,NORMAL,1.47127434,-0.07440630000000015
-1.2662845,-1.4181135,-0.028176159,NORMAL,-2.4463911,-3.0380482
-1.9412715,-1.3333063,-0.011682798,NORMAL,-0.674987,0.08480719999999997
-0.16773546,-1.0927223,0.0017562376,NORMAL,1.77353604,0.24058400000000013
0.099909425,-0.90456706,-0.015347989,NORMAL,0.267644885,0.18815523999999995
-0.23394442,-0.092106625,0.010308351,NORMAL,-0.333853845,0.812460435
-0.74943143,-0.33966783,0.023747386,NORMAL,-0.51548701,-0.247561205
-0.48120236,0.726062,0.0011453723,NORMAL,0.26822907,1.06572983
-0.018947363,0.68598056,-0.008628472,NORMAL,0.462254997,-0.040081440000000024
-0.34503925,-0.12613934,-0.0110719325,NORMAL,-0.326091887,-0.8121198999999999
0.5063236,0.89916474,0.010919216,NORMAL,0.85136285,1.02530408
-0.7444526,0.30807012,0.0041996986,NORMAL,-1.2507762,-0.59109462
-2.3109999,-0.00023590773,-0.04466952,NORMAL,-1.5665473,-0.30830602773
-1.2354913,-1.1864295,-0.017180584,NORMAL,1.0755086,-1.18619359227
-0.05797839,-1.2544351,0.031688634,NORMAL,1.1775129100000001,-0.0680056
0.73513544,-0.59420466,-0.01656972,NORMAL,0.79311383,0.66023044
-0.18448567,-0.28631848,-0.009850202,NORMAL,-0.91962111,0.30788618000000006
0.21474361,-0.17878866,-0.04466952,NORMAL,0.39922928,0.10752982
0.19085145,-0.18170041,0.007254025,NORMAL,-0.023892159999999996,-0.0029117500000000185
-0.26172924,-0.5900413,-0.0110719325,NORMAL,-0.45258069,-0.40834088999999996
-0.250973,0.109036595,0.029245174,NORMAL,0.010756239999999972,0.699077895
-0.3154993,-0.40621176,0.04024075,NORMAL,-0.06452629999999998,-0.515248355
1.0180122,0.70333594,0.031077769,NORMAL,1.3335115,1.1095477
-0.97506404,0.13342544,0.058566704,NORMAL,-1.9930762400000002,-0.5699105
-0.37907457,-0.45772478,0.07811439,NORMAL,0.59598947,-0.5911502200000001
0.24483013,0.65835357,0.05795584,NORMAL,0.6239047,1.11607835
0.45495677,0.4233096,0.075670935,NORMAL,0.21012664,-0.23504397000000005
-0.16050053,0.4032675,0.097662084,NORMAL,-0.6154573,-0.020042100000000007
-0.7214869,-0.5823275,0.117820635,NORMAL,-0.5609863700000001,-0.985595
-0.10930574,0.63884765,0.106214195,NORMAL,0.61218116,1.22117515
0.1320141,-0.30378756,0.12270755,NORMAL,0.24131984,-0.94263521
-0.104435205,-0.009786218,0.07200574,NORMAL,-0.236449305,0.294001342
-0.18531281,0.6822442,0.06895141,NORMAL,-0.08087760499999999,0.692030418
1.0312804,0.72823286,0.065897085,NORMAL,1.21659321,0.045988660000000015
